DATE,PRECIPITATION_IN_MM
23-09-1976,0
24-09-1976,6.1
27-09-1976,10.9
01-10-1976,2
02-10-1976,0
03-10-1976,0
05-10-1976,2
06-10-1976,0
09-10-1976,0
11-10-1976,0
15-10-1976,0
18-10-1976,0
21-10-1976,0
22-10-1976,0
26-10-1976,0
10-11-1976,0
12-11-1976,0
13-11-1976,0
14-11-1976,0
15-11-1976,0
16-11-1976,0
17-11-1976,0
18-11-1976,0
19-11-1976,0
20-11-1976,0
24-11-1976,0
28-11-1976,0
30-11-1976,0
05-12-1976,0
10-12-1976,0
13-12-1976,0
15-12-1976,0
17-12-1976,0
20-12-1976,0
25-12-1976,0
02-01-1977,0
06-01-1977,0
07-01-1977,0
10-01-1977,0
13-01-1977,0
18-01-1977,0
29-01-1977,0
09-02-1977,0
10-02-1977,0
12-02-1977,0
13-02-1977,0
14-02-1977,0
15-02-1977,0
16-02-1977,0
22-02-1977,0
23-02-1977,0
24-02-1977,0
25-02-1977,0
26-02-1977,0
03-03-1977,0
07-03-1977,0
09-03-1977,0
10-03-1977,0
11-03-1977,0
12-03-1977,0
15-03-1977,0
16-03-1977,0
21-03-1977,0
22-03-1977,0
24-03-1977,0
25-03-1977,0
28-03-1977,8.9
29-03-1977,0
02-04-1977,0
05-04-1977,0
08-04-1977,0
11-04-1977,16
12-04-1977,0
16-04-1977,0
20-04-1977,7.1
22-04-1977,0
27-04-1977,1
28-04-1977,5.1
30-04-1977,0
07-05-1977,7.9
08-05-1977,1
10-05-1977,3
11-05-1977,2
12-05-1977,2
13-05-1977,0
14-05-1977,2
15-05-1977,0
18-05-1977,0
31-05-1977,0
01-06-1977,0
06-06-1977,1
09-06-1977,0
10-06-1977,0
20-06-1977,50
21-06-1977,0.3
23-06-1977,7.1
24-06-1977,9.9
25-06-1977,3
26-06-1977,0
27-06-1977,0
01-07-1977,3
02-07-1977,0
04-07-1977,23.9
05-07-1977,3
06-07-1977,3
07-07-1977,33
08-07-1977,0
11-07-1977,7.9
12-07-1977,22.1
13-07-1977,15
14-07-1977,3
15-07-1977,7.9
16-07-1977,4.1
18-07-1977,4.1
25-07-1977,14
26-07-1977,1
27-07-1977,0
31-07-1977,3
01-08-1977,0
02-08-1977,3
04-08-1977,0
07-08-1977,0.5
08-08-1977,0
12-08-1977,1
13-08-1977,13
14-08-1977,0
15-08-1977,2
16-08-1977,11.9
20-08-1977,0
24-08-1977,2
25-08-1977,0
26-08-1977,23.1
28-08-1977,26.9
29-08-1977,0
30-08-1977,0
31-08-1977,0
01-09-1977,0
02-09-1977,6.1
03-09-1977,0
04-09-1977,7.1
08-09-1977,0
10-09-1977,9.9
11-09-1977,9.9
12-09-1977,0
14-09-1977,0
15-09-1977,0
17-09-1977,0
19-09-1977,0
21-09-1977,6.1
22-09-1977,0
23-09-1977,0.5
24-09-1977,0
25-09-1977,0
27-09-1977,0
30-09-1977,0
01-10-1977,0
03-10-1977,0
09-10-1977,1
10-10-1977,4.1
11-10-1977,0
12-10-1977,0
13-10-1977,0
14-10-1977,0
17-10-1977,0
19-10-1977,0
20-10-1977,0
22-10-1977,0
24-10-1977,0
25-10-1977,0
27-10-1977,0
29-10-1977,0
30-10-1977,2
31-10-1977,0
01-11-1977,0
02-11-1977,0
03-11-1977,0
04-11-1977,7.9
05-11-1977,0
06-11-1977,0
07-11-1977,0
08-11-1977,0
09-11-1977,0
10-11-1977,0
11-11-1977,0
13-11-1977,5.1
14-11-1977,0
15-11-1977,0
17-11-1977,0
18-11-1977,0
19-11-1977,0
20-11-1977,0
21-11-1977,0
24-11-1977,0
25-11-1977,0
28-11-1977,0
29-11-1977,0
01-12-1977,0
03-12-1977,0
04-12-1977,0
06-12-1977,0
07-12-1977,0
08-12-1977,0
10-12-1977,0
11-12-1977,0
14-12-1977,0
17-12-1977,0
18-12-1977,0
23-12-1977,0
24-12-1977,0
27-12-1977,38.1
28-12-1977,9.9
29-12-1977,0
30-12-1977,0
31-12-1977,0
01-01-1978,0
02-01-1978,0
03-01-1978,0
04-01-1978,0
05-01-1978,0
07-01-1978,0
09-01-1978,0
10-01-1978,3
11-01-1978,0
12-01-1978,0
13-01-1978,0
15-01-1978,0
18-01-1978,0
19-01-1978,0
20-01-1978,0
21-01-1978,0
23-01-1978,0
27-01-1978,0
28-01-1978,0
29-01-1978,0
30-01-1978,0
31-01-1978,0
01-02-1978,0
02-02-1978,0
03-02-1978,0
04-02-1978,0
05-02-1978,0
06-02-1978,0
07-02-1978,0
08-02-1978,7.9
09-02-1978,0
11-02-1978,0
12-02-1978,0
13-02-1978,0
15-02-1978,0
17-02-1978,1
18-02-1978,7.9
21-02-1978,0
22-02-1978,0
23-02-1978,2
24-02-1978,0
26-02-1978,0
27-02-1978,0
28-02-1978,0
01-03-1978,0
03-03-1978,0
08-03-1978,0
09-03-1978,0
16-03-1978,0
17-03-1978,7.1
18-03-1978,0
20-03-1978,0
21-03-1978,0
22-03-1978,0
23-03-1978,0
24-03-1978,0
25-03-1978,0
30-03-1978,1
31-03-1978,8.9
01-04-1978,0
05-04-1978,0
22-04-1978,0
23-04-1978,0
24-04-1978,0
25-04-1978,14
26-04-1978,0.5
27-04-1978,0
28-04-1978,0
29-04-1978,1
30-04-1978,0
01-05-1978,17
02-05-1978,3
03-05-1978,0
06-05-1978,11.9
07-05-1978,0
10-05-1978,2
11-05-1978,0
14-05-1978,0
15-05-1978,1
16-05-1978,1
19-05-1978,0
28-05-1978,7.1
29-05-1978,0
30-05-1978,0
31-05-1978,9.9
01-06-1978,3
03-06-1978,0
06-06-1978,25.9
07-06-1978,1
08-06-1978,24.9
09-06-1978,0
10-06-1978,4.1
11-06-1978,7.1
12-06-1978,1
13-06-1978,2
14-06-1978,29
15-06-1978,5.1
17-06-1978,0
18-06-1978,8.9
19-06-1978,0
20-06-1978,9.9
21-06-1978,0
24-06-1978,0
29-06-1978,14
30-06-1978,36.1
01-07-1978,14
02-07-1978,2
03-07-1978,18
04-07-1978,6.1
05-07-1978,0
06-07-1978,17
07-07-1978,1
08-07-1978,0
09-07-1978,6.1
10-07-1978,0
14-07-1978,0
15-07-1978,6.1
16-07-1978,0
18-07-1978,7.9
19-07-1978,0
20-07-1978,14
21-07-1978,8.9
22-07-1978,0
23-07-1978,43.9
24-07-1978,16
25-07-1978,4.1
26-07-1978,0
27-07-1978,4.1
28-07-1978,27.9
29-07-1978,2
31-07-1978,0
02-08-1978,0.5
05-08-1978,2
06-08-1978,3
07-08-1978,0
09-08-1978,52.1
10-08-1978,70.1
11-08-1978,59.9
12-08-1978,55.1
13-08-1978,0
17-08-1978,0
23-08-1978,7.9
24-08-1978,13
25-08-1978,0.5
26-08-1978,7.9
27-08-1978,0
28-08-1978,0
29-08-1978,0
30-08-1978,0
03-09-1978,0
04-09-1978,0
07-09-1978,0
09-09-1978,14
10-09-1978,0
11-09-1978,22.1
12-09-1978,0
15-09-1978,5.1
16-09-1978,0
18-09-1978,3
19-09-1978,9.9
20-09-1978,0
21-09-1978,0
23-09-1978,1
24-09-1978,2
25-09-1978,0
30-09-1978,7.1
09-10-1978,0
16-10-1978,0
17-10-1978,0
18-10-1978,0
20-10-1978,0
22-10-1978,0
31-10-1978,0
02-11-1978,0
03-11-1978,0
04-11-1978,0
05-11-1978,0
06-11-1978,0
10-11-1978,0
11-11-1978,0
12-11-1978,0
14-11-1978,0
15-11-1978,0
16-11-1978,0
19-11-1978,0
22-11-1978,0
24-11-1978,0
30-11-1978,0
01-12-1978,0
04-12-1978,0
05-12-1978,0
06-12-1978,0
07-12-1978,0
11-12-1978,0
16-12-1978,0
17-12-1978,0
18-12-1978,0
19-12-1978,0
20-12-1978,0
21-12-1978,0
23-12-1978,0
24-12-1978,0
25-12-1978,0
26-12-1978,0
28-12-1978,0
29-12-1978,0
30-12-1978,0
02-01-1979,0
06-01-1979,0
12-01-1979,0
13-01-1979,0
14-01-1979,0
15-01-1979,0
16-01-1979,1
18-01-1979,0
19-01-1979,0
21-01-1979,0
22-01-1979,0
26-01-1979,0
28-01-1979,0
29-01-1979,2
30-01-1979,2
14-02-1979,0
15-02-1979,0
16-02-1979,0
17-02-1979,1
18-02-1979,0
27-02-1979,0
28-02-1979,0
02-03-1979,0
03-03-1979,0
11-03-1979,0
13-03-1979,0
15-03-1979,0
16-03-1979,0
20-03-1979,0
23-03-1979,0
01-04-1979,0
07-04-1979,0.5
12-04-1979,0
20-04-1979,6.1
21-04-1979,0
02-05-1979,0
03-05-1979,0
08-05-1979,0
10-05-1979,16
11-05-1979,10.9
12-05-1979,3
13-05-1979,0
14-05-1979,0
15-05-1979,0
26-05-1979,0
27-05-1979,0
28-05-1979,0
29-05-1979,0
30-05-1979,0
01-06-1979,0
02-06-1979,0
05-06-1979,4.1
06-06-1979,0
08-06-1979,6.1
12-06-1979,0
13-06-1979,35.1
14-06-1979,45
15-06-1979,0
16-06-1979,0
18-06-1979,1
19-06-1979,0
20-06-1979,0
21-06-1979,7.1
22-06-1979,0
26-06-1979,9.9
27-06-1979,0
04-07-1979,0
05-07-1979,0
07-07-1979,15
20-07-1979,0
01-08-1979,27.9
03-08-1979,19.1
04-08-1979,0
05-08-1979,8.9
06-08-1979,1
07-08-1979,0
09-08-1979,0
11-08-1979,8.9
12-08-1979,9.9
13-08-1979,0
16-08-1979,0
17-08-1979,3
18-08-1979,11.9
19-08-1979,1
22-08-1979,7.1
25-08-1979,0
26-08-1979,11.9
27-08-1979,11.9
28-08-1979,0
29-08-1979,1
30-08-1979,4.1
31-08-1979,7.9
01-09-1979,1
02-09-1979,0
03-09-1979,10.9
04-09-1979,0
05-09-1979,3
06-09-1979,0
07-09-1979,0
08-09-1979,0
10-09-1979,2
12-09-1979,0
13-09-1979,2
14-09-1979,0
15-09-1979,0
16-09-1979,4.1
17-09-1979,0
19-09-1979,0
21-09-1979,0
22-09-1979,0
24-09-1979,0
25-09-1979,0
02-10-1979,5.1
03-10-1979,0.5
11-10-1979,5.1
12-10-1979,11.9
13-10-1979,0
19-10-1979,0
21-10-1979,0
23-10-1979,0
24-10-1979,0
26-10-1979,0
28-10-1979,2
29-10-1979,0
01-11-1979,0
08-11-1979,0
12-11-1979,0
15-11-1979,0
16-11-1979,0
19-11-1979,0
21-11-1979,0
24-11-1979,0
27-11-1979,0
03-12-1979,0
11-12-1979,0
15-12-1979,0
18-12-1979,0
19-12-1979,0
23-12-1979,0
27-12-1979,0
28-12-1979,0
30-12-1979,7.1
31-12-1979,0
01-01-1980,0
02-01-1980,1
03-01-1980,0
06-01-1980,0
10-01-1980,0
11-01-1980,0
14-01-1980,0
16-01-1980,0
18-01-1980,0
22-01-1980,0
23-01-1980,0
25-01-1980,0
27-01-1980,0
06-02-1980,0
11-02-1980,0
12-02-1980,0
14-02-1980,0
16-02-1980,0
17-02-1980,0
18-02-1980,8.9
19-02-1980,0
20-02-1980,0
21-02-1980,0
22-02-1980,0
23-02-1980,0
24-02-1980,3
25-02-1980,0
27-02-1980,0
28-02-1980,0
29-02-1980,5.1
01-03-1980,0
12-03-1980,0
02-04-1980,0
05-04-1980,0
09-04-1980,0
21-04-1980,0
23-04-1980,180.1
26-04-1980,0
02-05-1980,0
12-05-1980,1
16-05-1980,15
17-05-1980,0
21-05-1980,2
23-05-1980,3
24-05-1980,0
26-05-1980,2
28-05-1980,24.9
29-05-1980,0
30-05-1980,0
02-06-1980,1
03-06-1980,0
04-06-1980,8.9
05-06-1980,0
13-06-1980,2
14-06-1980,0
18-06-1980,0
20-06-1980,17
30-06-1980,2
01-07-1980,1
02-07-1980,1
04-07-1980,0
05-07-1980,0
11-07-1980,7.1
12-07-1980,7.9
13-07-1980,4.1
20-07-1980,4.1
21-07-1980,0
23-07-1980,4.1
24-07-1980,17
25-07-1980,20.1
27-07-1980,1
28-07-1980,6.1
29-07-1980,0
23-08-1980,20.1
24-08-1980,4.1
25-08-1980,6.1
26-08-1980,0
27-08-1980,0
28-08-1980,7.1
29-08-1980,0
01-09-1980,9.9
02-09-1980,7.9
03-09-1980,3
06-09-1980,6.1
07-09-1980,2
08-09-1980,6.1
09-09-1980,7.9
10-09-1980,4.1
12-09-1980,20.1
13-09-1980,2
14-09-1980,0
15-09-1980,0.5
16-09-1980,11.9
17-09-1980,0
18-09-1980,9.9
19-09-1980,21.1
22-09-1980,0
12-10-1980,0
30-10-1980,0
04-11-1980,0
05-11-1980,0
08-11-1980,0
09-11-1980,0
11-11-1980,0
14-11-1980,0
15-11-1980,0
17-11-1980,0
18-11-1980,0
20-11-1980,0
21-11-1980,0
22-11-1980,0
24-11-1980,0
25-11-1980,0
26-11-1980,0
27-11-1980,0
28-11-1980,0
01-12-1980,0
02-12-1980,0
05-12-1980,0
06-12-1980,0
12-12-1980,0
13-12-1980,0
14-12-1980,0
18-12-1980,0
19-12-1980,0
26-12-1980,0
27-12-1980,0
28-12-1980,0
29-12-1980,0
30-12-1980,0
01-01-1981,0
03-01-1981,0
06-01-1981,0
13-01-1981,2
14-01-1981,0
20-01-1981,0
21-01-1981,0
22-01-1981,0
23-01-1981,0.3
24-01-1981,0
28-01-1981,0
02-02-1981,0
03-02-1981,0
04-02-1981,0
10-02-1981,0
11-02-1981,0
12-02-1981,0
15-02-1981,0
16-02-1981,0
17-02-1981,0
18-02-1981,0
20-02-1981,0
21-02-1981,0
25-02-1981,0
27-02-1981,0
01-03-1981,2
